/n/home07/gthomas/projects/grampa
# ASTRAL PRO FULL

grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/19spec/astral-pro-tree//chelicerate-19spec-astral-pro.rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/19spec/astral-pro-tree//loci-rearrange-70.rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa//19spec/astral-pro-bs70-full/ -c 15 -f astral-pro-bs70-full -p 30
# 03.13.2025  16:23:57  Collapsing gene tree groupings                    MUL-tree # 431 / 1187
# 03.13.2025  16:24:02  Collapsing gene tree groupings                    MUL-tree # 461 / 1187
# 03.13.2025  16:24:07  Collapsing gene tree groupings                    MUL-tree # 491 / 1187
# 03.13.2025  16:24:13  Collapsing gene tree groupings                    MUL-tree # 521 / 1187
# 03.13.2025  16:24:18  Collapsing gene tree groupings                    MUL-tree # 549 / 1187
# 03.13.2025  16:24:23  Collapsing gene tree groupings                    MUL-tree # 579 / 1187
# 03.13.2025  16:24:28  Collapsing gene tree groupings                    MUL-tree # 609 / 1187
# 03.13.2025  16:24:34  Collapsing gene tree groupings                    MUL-tree # 639 / 1187
# 03.13.2025  16:24:39  Collapsing gene tree groupings                    MUL-tree # 669 / 1187
# 03.13.2025  16:24:44  Collapsing gene tree groupings                    MUL-tree # 697 / 1187
# 03.13.2025  16:24:49  Collapsing gene tree groupings                    MUL-tree # 727 / 1187
# 03.13.2025  16:24:55  Collapsing gene tree groupings                    MUL-tree # 757 / 1187
# 03.13.2025  16:25:01  Collapsing gene tree groupings                    MUL-tree # 787 / 1187
# 03.13.2025  16:25:07  Collapsing gene tree groupings                    MUL-tree # 817 / 1187
# 03.13.2025  16:25:13  Collapsing gene tree groupings                    MUL-tree # 847 / 1187
# 03.13.2025  16:25:20  Collapsing gene tree groupings                    MUL-tree # 877 / 1187
# 03.13.2025  16:25:26  Collapsing gene tree groupings                    MUL-tree # 907 / 1187
# 03.13.2025  16:25:33  Collapsing gene tree groupings                    MUL-tree # 942 / 1187
# 03.13.2025  16:25:39  Collapsing gene tree groupings                    MUL-tree # 976 / 1187
# 03.13.2025  16:25:46  Collapsing gene tree groupings                    MUL-tree # 1008 / 1187
# 03.13.2025  16:25:51  Collapsing gene tree groupings                    MUL-tree # 1038 / 1187
# 03.13.2025  16:25:58  Collapsing gene tree groupings                    MUL-tree # 1068 / 1187
# 03.13.2025  16:26:05  Collapsing gene tree groupings                    MUL-tree # 1097 / 1187
# 03.13.2025  16:26:13  Collapsing gene tree groupings                    MUL-tree # 1127 / 1187
# 03.13.2025  16:26:21  Collapsing gene tree groupings                    MUL-tree # 1157 / 1187
# 03.13.2025  16:27:26  Reconciliation                                    MUL-tree # 1 / 1187
# 03.13.2025  16:28:08  Reconciliation                                    MUL-tree # 98 / 1187
# 03.13.2025  16:28:13  Reconciliation                                    MUL-tree # 121 / 1187
# 03.13.2025  16:28:38  Reconciliation                                    MUL-tree # 150 / 1187
# 03.13.2025  16:28:44  Reconciliation                                    MUL-tree # 172 / 1187
# 03.13.2025  16:28:49  Reconciliation                                    MUL-tree # 194 / 1187
# 03.13.2025  16:29:00  Reconciliation                                    MUL-tree # 217 / 1187
# 03.13.2025  16:29:10  Reconciliation                                    MUL-tree # 257 / 1187
# 03.13.2025  16:29:15  Reconciliation                                    MUL-tree # 285 / 1187
# 03.13.2025  16:29:35  Reconciliation                                    MUL-tree # 314 / 1187
# 03.13.2025  16:29:39  Reconciliation                                    MUL-tree # 332 / 1187
# 03.13.2025  16:29:44  Reconciliation                                    MUL-tree # 351 / 1187
# 03.13.2025  16:29:52  Reconciliation                                    MUL-tree # 376 / 1187
# 03.13.2025  16:29:57  Reconciliation                                    MUL-tree # 387 / 1187
# 03.13.2025  16:30:02  Reconciliation                                    MUL-tree # 413 / 1187
# 03.13.2025  16:30:25  Reconciliation                                    MUL-tree # 445 / 1187
# 03.13.2025  16:30:28  Reconciliation                                    MUL-tree # 453 / 1187
# 03.13.2025  16:30:32  Reconciliation                                    MUL-tree # 461 / 1187
# 03.13.2025  16:30:37  Reconciliation                                    MUL-tree # 469 / 1187
# 03.13.2025  16:30:41  Reconciliation                                    MUL-tree # 477 / 1187
# 03.13.2025  16:30:45  Reconciliation                                    MUL-tree # 486 / 1187
# 03.13.2025  16:30:49  Reconciliation                                    MUL-tree # 505 / 1187
# 03.13.2025  16:30:53  Reconciliation                                    MUL-tree # 524 / 1187
# 03.13.2025  16:31:11  Reconciliation                                    MUL-tree # 553 / 1187
# 03.13.2025  16:31:30  Reconciliation                                    MUL-tree # 628 / 1187
# 03.13.2025  16:31:37  Reconciliation                                    MUL-tree # 661 / 1187
# 03.13.2025  16:31:42  Reconciliation                                    MUL-tree # 686 / 1187
# 03.13.2025  16:31:52  Reconciliation                                    MUL-tree # 712 / 1187
# 03.13.2025  16:32:01  Reconciliation                                    MUL-tree # 741 / 1187
# 03.13.2025  16:32:12  Reconciliation                                    MUL-tree # 777 / 1187
# 03.13.2025  16:32:20  Reconciliation                                    MUL-tree # 807 / 1187
# 03.13.2025  16:32:27  Reconciliation                                    MUL-tree # 836 / 1187
# 03.13.2025  16:33:06  Reconciliation                                    MUL-tree # 863 / 1187
# 03.13.2025  16:33:13  Reconciliation                                    MUL-tree # 891 / 1187
# 03.13.2025  16:36:13  Reconciliation                                    MUL-tree # 912 / 1187
# 03.13.2025  16:36:20  Reconciliation                                    MUL-tree # 919 / 1187
# 03.13.2025  16:36:29  Reconciliation                                    MUL-tree # 926 / 1187
# 03.13.2025  16:36:36  Reconciliation                                    MUL-tree # 932 / 1187
# 03.13.2025  16:36:46  Reconciliation                                    MUL-tree # 939 / 1187
# 03.13.2025  16:36:53  Reconciliation                                    MUL-tree # 947 / 1187
# 03.13.2025  16:36:59  Reconciliation                                    MUL-tree # 961 / 1187
# 03.13.2025  16:37:06  Reconciliation                                    MUL-tree # 982 / 1187
# 03.13.2025  16:37:22  Reconciliation                                    MUL-tree # 1008 / 1187
# 03.13.2025  16:37:38  Reconciliation                                    MUL-tree # 1046 / 1187
# 03.13.2025  16:37:56  Reconciliation                                    MUL-tree # 1071 / 1187
# 03.13.2025  16:38:14  Reconciliation                                    MUL-tree # 1096 / 1187
# 03.13.2025  16:38:37  Reconciliation                                    MUL-tree # 1120 / 1187
# 03.13.2025  16:38:54  Reconciliation                                    MUL-tree # 1145 / 1187
# 03.13.2025  16:40:18  Reconciliation                                    MUL-tree # 1182 / 1187
# 03.13.2025  16:22:43  Collapsing gene tree groupings                    MUL-tree # 17 / 1187
# 03.13.2025  16:22:49  Collapsing gene tree groupings                    MUL-tree # 47 / 1187
# 03.13.2025  16:22:54  Collapsing gene tree groupings                    MUL-tree # 77 / 1187
# 03.13.2025  16:22:59  Collapsing gene tree groupings                    MUL-tree # 106 / 1187
# 03.13.2025  16:23:04  Collapsing gene tree groupings                    MUL-tree # 136 / 1187
# 03.13.2025  16:23:10  Collapsing gene tree groupings                    MUL-tree # 166 / 1187
# 03.13.2025  16:23:15  Collapsing gene tree groupings                    MUL-tree # 196 / 1187
# 03.13.2025  16:23:20  Collapsing gene tree groupings                    MUL-tree # 226 / 1187
# 03.13.2025  16:23:26  Collapsing gene tree groupings                    MUL-tree # 256 / 1187
# 03.13.2025  16:23:31  Collapsing gene tree groupings                    MUL-tree # 286 / 1187
# 03.13.2025  16:23:36  Collapsing gene tree groupings                    MUL-tree # 316 / 1187
# 03.13.2025  16:23:41  Collapsing gene tree groupings                    MUL-tree # 346 / 1187
# 03.13.2025  16:23:47  Collapsing gene tree groupings                    MUL-tree # 376 / 1187
# 03.13.2025  16:23:52  Collapsing gene tree groupings                    MUL-tree # 406 / 1187
# 03.13.2025  16:23:58  Collapsing gene tree groupings                    MUL-tree # 437 / 1187
# 03.13.2025  16:24:03  Collapsing gene tree groupings                    MUL-tree # 467 / 1187
# 03.13.2025  16:24:08  Collapsing gene tree groupings                    MUL-tree # 497 / 1187
# 03.13.2025  16:24:14  Collapsing gene tree groupings                    MUL-tree # 527 / 1187
# 03.13.2025  16:24:19  Collapsing gene tree groupings                    MUL-tree # 557 / 1187
# 03.13.2025  16:24:24  Collapsing gene tree groupings                    MUL-tree # 585 / 1187
# 03.13.2025  16:24:29  Collapsing gene tree groupings                    MUL-tree # 615 / 1187
# 03.13.2025  16:24:35  Collapsing gene tree groupings                    MUL-tree # 645 / 1187
# 03.13.2025  16:24:40  Collapsing gene tree groupings                    MUL-tree # 675 / 1187
# 03.13.2025  16:24:45  Collapsing gene tree groupings                    MUL-tree # 705 / 1187
# 03.13.2025  16:24:51  Collapsing gene tree groupings                    MUL-tree # 735 / 1187
# 03.13.2025  16:24:57  Collapsing gene tree groupings                    MUL-tree # 766 / 1187
# 03.13.2025  16:25:03  Collapsing gene tree groupings                    MUL-tree # 796 / 1187
# 03.13.2025  16:25:08  Collapsing gene tree groupings                    MUL-tree # 826 / 1187
# 03.13.2025  16:25:15  Collapsing gene tree groupings                    MUL-tree # 854 / 1187
# 03.13.2025  16:25:21  Collapsing gene tree groupings                    MUL-tree # 885 / 1187
# 03.13.2025  16:25:27  Collapsing gene tree groupings                    MUL-tree # 915 / 1187
# 03.13.2025  16:25:33  Collapsing gene tree groupings                    MUL-tree # 945 / 1187
# 03.13.2025  16:25:39  Collapsing gene tree groupings                    MUL-tree # 973 / 1187
# 03.13.2025  16:25:45  Collapsing gene tree groupings                    MUL-tree # 1003 / 1187
# 03.13.2025  16:25:50  Collapsing gene tree groupings                    MUL-tree # 1033 / 1187
# 03.13.2025  16:25:56  Collapsing gene tree groupings                    MUL-tree # 1063 / 1187
# 03.13.2025  16:26:03  Collapsing gene tree groupings                    MUL-tree # 1092 / 1187
# 03.13.2025  16:26:11  Collapsing gene tree groupings                    MUL-tree # 1123 / 1187
# 03.13.2025  16:26:19  Collapsing gene tree groupings                    MUL-tree # 1151 / 1187
# 03.13.2025  16:26:29  Collapsing gene tree groupings                    MUL-tree # 1181 / 1187
# 03.13.2025  16:27:29  Reconciliation                                    MUL-tree # 22 / 1187
# 03.13.2025  16:27:53  Reconciliation                                    MUL-tree # 52 / 1187
# 03.13.2025  16:28:01  Reconciliation                                    MUL-tree # 73 / 1187
# 03.13.2025  16:28:08  Reconciliation                                    MUL-tree # 97 / 1187
# 03.13.2025  16:28:13  Reconciliation                                    MUL-tree # 120 / 1187
# 03.13.2025  16:28:39  Reconciliation                                    MUL-tree # 152 / 1187
# 03.13.2025  16:28:44  Reconciliation                                    MUL-tree # 174 / 1187
# 03.13.2025  16:28:49  Reconciliation                                    MUL-tree # 196 / 1187
# 03.13.2025  16:29:00  Reconciliation                                    MUL-tree # 218 / 1187
# 03.13.2025  16:29:10  Reconciliation                                    MUL-tree # 258 / 1187
# 03.13.2025  16:29:15  Reconciliation                                    MUL-tree # 286 / 1187
# 03.13.2025  16:29:35  Reconciliation                                    MUL-tree # 315 / 1187
# 03.13.2025  16:29:40  Reconciliation                                    MUL-tree # 333 / 1187
# 03.13.2025  16:29:44  Reconciliation                                    MUL-tree # 352 / 1187
# 03.13.2025  16:29:53  Reconciliation                                    MUL-tree # 378 / 1187
# 03.13.2025  16:29:58  Reconciliation                                    MUL-tree # 393 / 1187
# 03.13.2025  16:30:03  Reconciliation                                    MUL-tree # 420 / 1187
# 03.13.2025  16:30:48  Reconciliation                                    MUL-tree # 498 / 1187
# 03.13.2025  16:30:56  Reconciliation                                    MUL-tree # 538 / 1187
# 03.13.2025  16:31:14  Reconciliation                                    MUL-tree # 565 / 1187
# 03.13.2025  16:31:18  Reconciliation                                    MUL-tree # 582 / 1187
# 03.13.2025  16:31:22  Reconciliation                                    MUL-tree # 599 / 1187
# 03.13.2025  16:31:29  Reconciliation                                    MUL-tree # 623 / 1187
# 03.13.2025  16:31:35  Reconciliation                                    MUL-tree # 648 / 1187
# 03.13.2025  16:31:40  Reconciliation                                    MUL-tree # 673 / 1187
# 03.13.2025  16:31:50  Reconciliation                                    MUL-tree # 701 / 1187
